Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,14.56099987,14.06799984,14.70199966,14.66899967,15.47799969,14.2329998,14.23900032,14.22999954,14.28499985,14.37100029,14.65699959,15.81700039,13.70100021,14.29599953,13.59300041,13.68500042,12.86299992,13.14299965,11.93400002,12.40100002,12.81900024,12.57400036,13.05099964,13.28800011,13.43200016,13.01599979
Afghanistan,AFG,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,11.61600018,10.08500004,11.98799992,11.91600037,7.605000019,10.6420002,10.61100006,10.50399971,10.56099987,10.68299961,11.09200001,7.53000021,8.050000191,9.277999878,7.59499979,8.284000397,6.975999832,8.050000191,5.869999886,7.085999966,7.467000008,7.130000114,7.612999916,7.828000069,7.945000172,7.968999863
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,12.03100014,10.64500046,12.36800003,12.29899979,8.701999664,11.13799953,11.10900021,11.01299953,11.06900024,11.18400002,11.58399963,8.690999985,8.852999687,10.0010004,8.470000267,9.05700016,7.802000046,8.755000114,6.704999924,7.821000099,8.229999542,7.93599987,8.451999664,8.706000328,8.86400032,8.840999603
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,..,26.88800049,25.45400047,27.20599937,27.14500046,26.03499985,25.98800087,25.95199966,25.84000015,25.88299942,25.98500061,26.32600021,25.84000015,23.18499947,24.53300095,22.6779995,23.34900093,21.65299988,22.80599976,19.88100052,21.33699989,21.99200058,21.5359993,22.11899948,22.35499954,22.47900009,21.73600006
Afghanistan,AFG,"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.MA.ZS,..,25.31500053,21.8409996,26.12899971,25.97200012,16.12000084,23.09900093,23.00699997,22.73399925,22.82600021,23.05500031,23.83300018,15.70100021,16.96699905,19.67300034,16.00900078,17.70499992,14.94200039,17.49699974,12.65499973,15.44799995,16.23399925,15.49499989,16.375,16.73399925,16.91600037,16.81599998
Afghanistan,AFG,"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.ZS,..,25.5890007,22.46899986,26.31500053,26.17300034,17.8239994,23.5909996,23.50499916,23.25799942,23.34199905,23.54999924,24.26199913,17.4829998,18.08399963,20.56299973,17.25300026,18.73500061,16.14299965,18.43000031,13.91300011,16.47299957,17.26600075,16.61899948,17.48900032,17.87100029,18.08699989,17.88199997
Albania,ALB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,..,27.68000031,28.0170002,29.64699936,29.58099937,29.47599983,29.79800034,29.69199944,29.79500008,29.84499931,29.2689991,29.28199959,26.94300079,24.56599998,22.12199974,19.61700058,17.00099945,13.22900009,12.73999977,15.79699993,13.70100021,13.35900021,12.73700047,13.05300045,15.11200047,17.13899994,14.54899979
Albania,ALB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,..,18.42200089,18.61100006,21.14599991,20.71199989,19.49099922,18.51300049,18.28899956,18.08200073,18.63400078,18.17000008,18.10300064,17.6970005,17.05500031,16.47100067,15.91499996,15.34300041,13.69799995,13.27900028,12.31099987,14.56799984,14.43900013,13.96100044,17.48200035,19.14900017,17.03700066,15.70499992
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,..,22.3239994,22.64699936,24.82600021,24.58300018,23.86100006,23.39800072,23.19499969,23.03300095,23.29000092,22.72999954,22.68000031,21.48800087,20.15299988,18.81800079,17.46299934,16.04000092,13.5,13.05000019,13.76000023,14.19999981,13.97999954,13.43999958,15.64000034,17.48999977,17.07999992,15.22000027
Albania,ALB,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",SL.UEM.1524.FE.ZS,..,24.31299973,25.54599953,31.95499992,31.83399963,31.57900047,28.68400002,24.51099968,28.60099983,29.39500046,27.5739994,27.93700027,26.89800072,27.13999939,27.12199974,27.12199974,27.23800087,25.26000023,24.67700005,28.78800011,27.28899956,26.78800011,25.73999977,26.13999939,32.60900116,41.2120018,30.38500023
